Timestamp,Level meter,Flow meter,Setpoint,Fill value,Discharge value,SP,PV
"2024-06-04 12:58:48,952",19076,0,0,,,,
"2024-06-04 12:58:48,959",,,,13685,0,0,0
"2024-06-04 12:58:48,970",19111,0,0,,,,
"2024-06-04 12:58:48,976",,,,13685,0,0,0
"2024-06-04 12:58:48,986",19133,0,0,,,,
"2024-06-04 12:58:48,992",,,,13685,0,0,0
"2024-06-04 12:58:49,003",19157,0,0,,,,
"2024-06-04 12:58:49,009",,,,13685,0,0,0
"2024-06-04 12:58:49,019",19179,0,0,,,,
"2024-06-04 12:58:49,025",,,,13685,0,0,0
"2024-06-04 12:58:49,037",19205,0,0,,,,
"2024-06-04 12:58:49,043",,,,13685,0,0,0
"2024-06-04 12:58:49,053",19228,0,0,,,,
"2024-06-04 12:58:49,058",,,,13685,0,0,0
"2024-06-04 12:58:49,069",19255,0,0,,,,
"2024-06-04 12:58:49,075",,,,13685,0,0,0
"2024-06-04 12:58:49,085",19277,0,0,,,,
"2024-06-04 12:58:49,090",,,,13685,0,0,0
"2024-06-04 12:58:49,101",19301,0,0,,,,
"2024-06-04 12:58:49,106",,,,13685,0,0,0
"2024-06-04 12:58:49,116",19324,0,0,,,,
"2024-06-04 12:58:49,122",,,,13685,0,0,0
"2024-06-04 12:58:49,132",19346,0,0,,,,
"2024-06-04 12:58:49,137",,,,13685,0,0,0
"2024-06-04 12:58:49,147",19368,0,0,,,,
"2024-06-04 12:58:49,153",,,,13685,0,0,0
"2024-06-04 12:58:49,163",19395,0,0,,,,
"2024-06-04 12:58:49,168",,,,13685,0,0,0
"2024-06-04 12:58:49,178",19416,0,0,,,,
"2024-06-04 12:58:49,184",,,,13685,0,0,0
"2024-06-04 12:58:49,194",19444,0,0,,,,
"2024-06-04 12:58:49,199",,,,13685,0,0,0
"2024-06-04 12:58:49,209",19468,0,0,,,,
"2024-06-04 12:58:49,215",,,,13685,0,0,0
"2024-06-04 12:58:49,225",19491,0,0,,,,
"2024-06-04 12:58:49,230",,,,13685,0,0,0
"2024-06-04 12:58:49,240",19513,0,0,,,,
"2024-06-04 12:58:49,246",,,,13685,0,0,0
"2024-06-04 12:58:49,257",19535,0,0,,,,
"2024-06-04 12:58:49,262",,,,13685,0,0,0
"2024-06-04 12:58:49,272",19563,0,0,,,,
"2024-06-04 12:58:49,278",,,,13685,0,0,0
"2024-06-04 12:58:49,288",19587,0,0,,,,
"2024-06-04 12:58:49,294",,,,13685,0,0,0
"2024-06-04 12:58:49,304",19612,0,0,,,,
"2024-06-04 12:58:49,309",,,,13685,0,0,0
"2024-06-04 12:58:49,319",19635,0,0,,,,
"2024-06-04 12:58:49,325",,,,13685,0,0,0
"2024-06-04 12:58:49,335",19657,0,0,,,,
"2024-06-04 12:58:49,341",,,,13685,0,0,0
"2024-06-04 12:58:49,351",19685,0,0,,,,
"2024-06-04 12:58:49,357",,,,13685,0,0,0
"2024-06-04 12:58:49,367",19707,0,0,,,,
"2024-06-04 12:58:49,373",,,,13685,0,0,0
"2024-06-04 12:58:49,383",19730,0,0,,,,
"2024-06-04 12:58:49,389",,,,13685,0,0,0
"2024-06-04 12:58:49,399",19752,0,0,,,,
"2024-06-04 12:58:49,405",,,,13685,0,0,0
"2024-06-04 12:58:49,415",19780,0,0,,,,
"2024-06-04 12:58:49,421",,,,13685,0,0,0
"2024-06-04 12:58:49,431",19809,0,0,,,,
"2024-06-04 12:58:49,436",,,,13685,0,0,0
"2024-06-04 12:58:49,446",19831,0,0,,,,
"2024-06-04 12:58:49,452",,,,13685,0,0,0
"2024-06-04 12:58:49,463",19853,0,0,,,,
"2024-06-04 12:58:49,470",,,,13685,0,0,0
"2024-06-04 12:58:49,481",19875,0,0,,,,
"2024-06-04 12:58:49,486",,,,13685,0,0,0
"2024-06-04 12:58:49,497",19897,0,0,,,,
"2024-06-04 12:58:49,502",,,,13685,0,0,0
"2024-06-04 12:58:49,512",19926,0,0,,,,
"2024-06-04 12:58:49,518",,,,13685,0,0,0
"2024-06-04 12:58:49,529",19949,0,0,,,,
"2024-06-04 12:58:49,535",,,,13685,0,0,0
"2024-06-04 12:58:49,546",19971,0,0,,,,
"2024-06-04 12:58:49,552",,,,13685,0,0,0
"2024-06-04 12:58:49,562",19994,0,0,,,,
"2024-06-04 12:58:49,568",,,,13685,0,0,0
"2024-06-04 12:58:49,578",20016,0,0,,,,
"2024-06-04 12:58:49,584",,,,13685,0,0,0
"2024-06-04 12:58:49,594",20044,0,0,,,,
"2024-06-04 12:58:49,600",,,,13685,0,0,0
"2024-06-04 12:58:49,610",20067,0,0,,,,
"2024-06-04 12:58:49,615",,,,13685,0,0,0
"2024-06-04 12:58:49,625",20092,0,0,,,,
"2024-06-04 12:58:49,631",,,,13685,0,0,0
"2024-06-04 12:58:49,641",20126,0,0,,,,
"2024-06-04 12:58:49,647",,,,13685,0,0,0
"2024-06-04 12:58:49,657",20148,0,0,,,,
"2024-06-04 12:58:49,663",,,,13685,0,0,0
"2024-06-04 12:58:49,673",20176,0,0,,,,
"2024-06-04 12:58:49,679",,,,13685,0,0,0
"2024-06-04 12:58:49,689",20199,0,0,,,,
"2024-06-04 12:58:49,695",,,,13685,0,0,0
"2024-06-04 12:58:49,705",20221,0,0,,,,
"2024-06-04 12:58:49,712",,,,13685,0,0,0
"2024-06-04 12:58:49,722",20243,0,0,,,,
"2024-06-04 12:58:49,728",,,,13685,0,0,0
"2024-06-04 12:58:49,738",20271,0,0,,,,
"2024-06-04 12:58:49,744",,,,13685,0,0,0
"2024-06-04 12:58:49,754",20294,0,0,,,,
"2024-06-04 12:58:49,760",,,,13685,0,0,0
"2024-06-04 12:58:49,770",20317,0,0,,,,
"2024-06-04 12:58:49,776",,,,13685,0,0,0
"2024-06-04 12:58:49,786",20339,0,0,,,,
"2024-06-04 12:58:49,791",,,,13685,0,0,0
"2024-06-04 12:58:49,801",20367,0,0,,,,
"2024-06-04 12:58:49,807",,,,13685,0,0,0
"2024-06-04 12:58:49,817",20389,0,0,,,,
"2024-06-04 12:58:49,823",,,,13685,0,0,0
"2024-06-04 12:58:49,833",20412,0,0,,,,
"2024-06-04 12:58:49,839",,,,13685,0,0,0
"2024-06-04 12:58:49,849",20435,0,0,,,,
"2024-06-04 12:58:49,855",,,,13685,0,0,0
"2024-06-04 12:58:49,865",20463,0,0,,,,
"2024-06-04 12:58:49,871",,,,13685,0,0,0
"2024-06-04 12:58:49,881",20485,0,0,,,,
"2024-06-04 12:58:49,887",,,,13685,0,0,0
"2024-06-04 12:58:49,897",20508,0,0,,,,
"2024-06-04 12:58:49,903",,,,13685,0,0,0
"2024-06-04 12:58:49,913",20530,0,0,,,,
"2024-06-04 12:58:49,920",,,,13685,0,0,0
"2024-06-04 12:58:49,930",20555,0,0,,,,
"2024-06-04 12:58:49,935",,,,13685,0,0,0
"2024-06-04 12:58:49,946",20584,0,0,,,,
"2024-06-04 12:58:49,951",,,,13685,0,0,0
"2024-06-04 12:58:49,961",20606,0,0,,,,
"2024-06-04 12:58:49,967",,,,13685,0,0,0
"2024-06-04 12:58:49,977",20628,0,0,,,,
"2024-06-04 12:58:49,983",,,,13685,0,0,0
"2024-06-04 12:58:49,993",20651,0,0,,,,
"2024-06-04 12:58:49,998",,,,13685,0,0,0
"2024-06-04 12:58:50,008",20673,0,0,,,,
"2024-06-04 12:58:50,014",,,,13685,0,0,0
"2024-06-04 12:58:50,024",20701,0,0,,,,
"2024-06-04 12:58:50,029",,,,13685,0,0,0
"2024-06-04 12:58:50,040",20724,0,0,,,,
"2024-06-04 12:58:50,045",,,,13685,0,0,0
"2024-06-04 12:58:50,056",20746,0,0,,,,
"2024-06-04 12:58:50,061",,,,13685,0,0,0
"2024-06-04 12:58:50,071",20769,0,0,,,,
"2024-06-04 12:58:50,077",,,,13685,0,0,0
"2024-06-04 12:58:50,087",20797,0,0,,,,
"2024-06-04 12:58:50,092",,,,13685,0,0,0
"2024-06-04 12:58:50,102",20819,0,0,,,,
"2024-06-04 12:58:50,108",,,,13685,0,0,0
"2024-06-04 12:58:50,118",20842,0,0,,,,
"2024-06-04 12:58:50,123",,,,13685,0,0,0
"2024-06-04 12:58:50,134",20870,0,0,,,,
"2024-06-04 12:58:50,139",,,,13685,0,0,0
"2024-06-04 12:58:50,150",20893,0,0,,,,
"2024-06-04 12:58:50,156",,,,13685,0,0,0
"2024-06-04 12:58:50,166",20915,0,0,,,,
"2024-06-04 12:58:50,171",,,,13685,0,0,0
"2024-06-04 12:58:50,181",20943,0,0,,,,
"2024-06-04 12:58:50,187",,,,13685,0,0,0
"2024-06-04 12:58:50,197",20966,0,0,,,,
"2024-06-04 12:58:50,202",,,,13685,0,0,0
"2024-06-04 12:58:50,213",20988,0,0,,,,
"2024-06-04 12:58:50,218",,,,13685,0,0,0
"2024-06-04 12:58:50,228",21010,0,0,,,,
"2024-06-04 12:58:50,234",,,,13685,0,0,0
"2024-06-04 12:58:50,244",21033,0,0,,,,
"2024-06-04 12:58:50,250",,,,13685,0,0,0
"2024-06-04 12:58:50,260",21055,0,0,,,,
"2024-06-04 12:58:50,266",,,,13685,0,0,0
"2024-06-04 12:58:50,276",21081,0,0,,,,
"2024-06-04 12:58:50,282",,,,13685,0,0,0
"2024-06-04 12:58:50,292",21109,0,0,,,,
